Situacao da Compra,Tipo de Compra,Data da Compra,Campanha de Vendas,Vendedor,Usuario baixa,Comprador,Cpf do Comprador,RA,Telefone do Comprador,Endereco,Produto,Tamanho,Quantidade,Valor Unidade,Valor Total,Valor Liquido,Metodo de Pagamento,Observacoes,Valor Total (float)
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,luana assis,luana assis,17261645788,,,,College ESPM RIO - JUCS 2025,M,1,"R$ 240,00","R$ 240,00","R$ 240,00",Pix,,240.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,PACK De Adesivos - JUCS 2025,U,1,"R$ 26,37","R$ 26,37","R$ 25,00",Pix,,26.37
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,College ESPM RIO - JUCS 2025,GG,1,"R$ 315,85","R$ 315,85","R$ 300,00",Pix,,315.85
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Camisa RITA - JUCS 2025,M,1,"R$ 79,00","R$ 79,00","R$ 75,00",Pix,,79.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Camisa RITA - JUCS 2025,M,1,"R$ 79,00","R$ 79,00","R$ 75,00",Pix,,79.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Camisa RITA - JUCS 2025,P,1,"R$ 79,00","R$ 79,00","R$ 75,00",Pix,,79.0
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,Maria Luiza,Maria Luiza,43441550846,,(11)99478-1251,,Body ESPM RIO - JUCS 2025,P,1,"R$ 94,79","R$ 94,79","R$ 90,00",Pix,,94.79
Aprovado,Aplicativo,09/05/2025,Atlética ESPM Rio,Atlética ESPM Rio,ângelo raphael,ângelo raphael,18077236740,,,,Corta Vento ESPM RIO - JUCS 2025,G,1,"R$ 150,58","R$ 150,58","R$ 143,00",Pix,,150.58
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Cecília Maggini Müller Corrêa,Maria Cecília Maggini Müller Corrêa,10977532712,,21972021107,,Calça Moletom ESPM Rio - JUCS 2025,G,1,"R$ 101,00","R$ 101,00","R$ 101,00",Pix,,101.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Cecília Maggini Müller Corrêa,Maria Cecília Maggini Müller Corrêa,10977532712,,21972021107,,KIT Camisa + Tirante + Caneca + Tatuagem - JUCS 2025,G,1,"R$ 65,00","R$ 65,00","R$ 65,00",Pix,,65.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Cecília Maggini Müller Corrêa,Maria Cecília Maggini Müller Corrêa,10977532712,,21972021107,,Camisa JACA JET - JUCS 2025,G,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Cecília Maggini Müller Corrêa,Maria Cecília Maggini Müller Corrêa,10977532712,,21972021107,,College ESPM RIO - JUCS 2025,GG,1,"R$ 259,00","R$ 259,00","R$ 259,00",Pix,,259.0
Aprovado,Baixa Manual,09/05/2025,Atlética ESPM Rio,Heitor Furtado,Maria Cecília Maggini Müller Corrêa,Maria Cecília Maggini Müller Corrêa,10977532712,,21972021107,,Camisa RITA - JUCS 2025,G,1,"R$ 40,00","R$ 40,00","R$ 40,00",Pix,,40.0
